unique_card_id,credit_card_no,card_holder,credit_limit,expiration,cvv
6437dfe7a4d0ee22e2b242ba9f6cee5b301e07cb34f3119c4f30b3266084c2a1,4485993889477610,pinar erbil,567697,11/26,295
d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,4929463709135628,ahmet talha akgul,422689,09/25,760
4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,4539889487876383,doga ege inhanli,84111,05/24,784
4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,4916187742667439,betul demirtas,745069,03/30,125
ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,4485681923560216,taylor swift,76383,03/25,988
e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,4929078081076289,pinar erbil,496464,10/28,634
7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451,4916312606418295,birgitta abethell,221103,08/23,164
2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3,4532401067537711,maxie treversh,13866,11/29,601
19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7,4539941783162446,barret tour,530632,01/27,530
4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5,4716909016035577,pammi belhomme,64859,03/24,429
4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,4539872654742646,marieann Halfhide,194064,08/28,203
6b51d431df5d7f141cbececcf79edf3dd861c3b4069f0b11661a3eefacbba918,4442716343621016,cory courvert,405383,10/30,782
3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278,4673293631299871,Xylia bauduccio,592735,10/29,975
8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,4485166916726792,giuseppe barrasse,622196,10/24,272
e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb,4556512975310826,zared loxdale,336367,11/29,873
b17ef6d19c7a5b1ee83b907c595526dcb1eb06db8227d650d5dda0a9f4ce8cd9,4532111089278513,gael tierny,485799,09/25,967
4523540f1504cd17100c4835e85b7eefd49911580f8efff0599a8f283be6b9e3,4485976941498906,deina jaegar,321249,05/24,507
4ec9599fc203d176a301536c2e091a19bc852759b255bd6818810a42c5fed14a,4539658178623218,venus scogin,397320,04/28,413
9400f1b21cb527d7fa3d3eabba93557a18ebe7a2ca4e471cfe5e4c5b4ca7f767,4532549674256446,arabelle tasker,315133,10/29,532
f5ca38f748a1d6eaf726b8a42fb575c3c71f1864a8143301782de13da2d9202b,4485480238740930,symon binny,87682,08/24,675
